대대분류,대분류,중분류,소분류,브랜드,오집 item_code,대산 제품명,제품명,디폴트,옵션 번들명,순서,옵션1 (규격),순서,옵션2 (재단여부),순서,옵션3 (색상),제품 색상,제조사 제품 코드,제품 규격,제품설명,활성,단위,"기본금액
 (VAT포함)",옵션 1 (규격) 추가금,"옵션 2 (재단여부) 
 추가금","옵션 3 (색상) 
 추가금",단위,"기본금액
 (VAT포함)",옵션 1 (규격) 추가금,"옵션 2 (재단여부) 
 추가금","옵션 3 (색상) 
 추가금",추가일,"추가
 완료",비고,,,대대분류,대분류,중분류,소분류,브랜드,제품명
,,,,,,,,,,,,,,HP,HP527 쁘레 회벽민트,,,,,,,,,,770,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,HP,HP530 쁘레 회벽스노우,,,,,,,,,,770,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,HP,HP540 쁘레 회벽크렘,,,,,,,,,,770,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,메탈릭,예림152 HT2301 메탈그레이,,,,,,,,,,770,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,메탈릭,예림153 HT2302 골드,,,,,,,,,,770,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,매트,HSM01 매트 화이트,,,,,,,,,,"1,100",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,매트,HSM02 매트 밀크화이트,,,,,,,,,,"1,100",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,매트,HSM03 매트 캐시미어,,,,,,,,,,"1,100",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,매트,HSM04 매트 브라운,,,,,,,,,,"1,100",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,매트,HSM06 매트 그레이,,,,,,,,,,"1,100",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,매트,HSM07 매트 다크그레이,,,,,,,,,,"1,100",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,매트,HSM10 매트 딥그린,,,,,,,,,,"1,100",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,매트,HSM11 매트 딥블루,,,,,,,,,,"1,100",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,매트,HSM16 매트 아이보리,,,,,,,,,,"1,100",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,매트,HSM20 매트 라이트그레이,,,,,,,,,,"1,100",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,매트,HSM21 매트 샌드그레이,,,,,,,,,,"1,100",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,매트,HSM27 매트 문빔그레이,,,,,,,,,,"1,100",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,매트,HSM28 매트 스노우베이지,,,,,,,,,,"1,100",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,매트,HSM29 매트 포그그레이,,,,,,,,,,"1,100",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,매트,HSM30 매트 듀이클라우드,,,,,,,,,,"1,100",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,매트,HSM31 매트 코타화이트,,,,,,,,,,"1,100",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,매트,HSM34 매트 스카이브리즈,,,,,,,,,,"1,100",,,,,,,,,,,,,,,,
